feature,importance
corr_sin_1p2_2p4,0.122479
maxabs_angular,0.055784
culture_present,0.040666
corr_physical,0.038483
corr_sin_1p3_1p4,0.037727
corr_sin_1p1_-1p3,0.037064
corr_sign_code,0.033510
maxabs_physical,0.033012
corr_sin1p2,0.031766
culture_end,0.029789
culture_sd,0.029280
culture_mean,0.026514
culture_slope,0.025785
fine_qvar_mean,0.023909
curvature_mean,0.023903
corr_sin_1p2_1p3,0.021022
corr_sin1p1,0.020769
corr_tidal,0.020717
corr_sin_2p3_1p4,0.019553
corr_cos_2p2_-1p4,0.011681
same_birth_cov,0.011188
birth_between_frac,0.010830
birth_group_mean_sd,0.007734
birthcorr_sin2p1,0.005978
corr_cos_1p2_1p4,0.005640
